2023-06-17 06:05:34 startup archives unpack
2023-06-17 06:05:34 upgrade libssl1.1:amd64 1.1.1n-0+deb11u4 1.1.1n-0+deb11u5
2023-06-17 06:05:34 status triggers-pending libc-bin:amd64 2.31-13+deb11u6
2023-06-17 06:05:34 status half-configured libssl1.1:amd64 1.1.1n-0+deb11u4
2023-06-17 06:05:34 status unpacked libssl1.1:amd64 1.1.1n-0+deb11u4
2023-06-17 06:05:34 status half-installed libssl1.1:amd64 1.1.1n-0+deb11u4
2023-06-17 06:05:34 status unpacked libssl1.1:amd64 1.1.1n-0+deb11u5
2023-06-17 06:05:34 startup packages configure
2023-06-17 06:05:34 configure libssl1.1:amd64 1.1.1n-0+deb11u5 <none>
2023-06-17 06:05:34 status unpacked libssl1.1:amd64 1.1.1n-0+deb11u5
2023-06-17 06:05:34 status half-configured libssl1.1:amd64 1.1.1n-0+deb11u5
2023-06-17 06:05:34 status installed libssl1.1:amd64 1.1.1n-0+deb11u5
2023-06-17 06:05:34 startup archives unpack
2023-06-17 06:05:34 upgrade openssl:amd64 1.1.1n-0+deb11u4 1.1.1n-0+deb11u5
2023-06-17 06:05:34 status half-configured openssl:amd64 1.1.1n-0+deb11u4
2023-06-17 06:05:34 status unpacked openssl:amd64 1.1.1n-0+deb11u4
2023-06-17 06:05:34 status half-installed openssl:amd64 1.1.1n-0+deb11u4
2023-06-17 06:05:34 status triggers-pending man-db:amd64 2.9.4-2
2023-06-17 06:05:34 status unpacked openssl:amd64 1.1.1n-0+deb11u5
2023-06-17 06:05:34 startup packages configure
2023-06-17 06:05:34 configure openssl:amd64 1.1.1n-0+deb11u5 <none>
2023-06-17 06:05:34 status unpacked openssl:amd64 1.1.1n-0+deb11u5
2023-06-17 06:05:34 status half-configured openssl:amd64 1.1.1n-0+deb11u5
2023-06-17 06:05:34 status installed openssl:amd64 1.1.1n-0+deb11u5
2023-06-17 06:05:34 trigproc man-db:amd64 2.9.4-2 <none>
2023-06-17 06:05:34 status half-configured man-db:amd64 2.9.4-2
2023-06-17 06:05:35 status installed man-db:amd64 2.9.4-2
2023-06-17 06:05:35 trigproc libc-bin:amd64 2.31-13+deb11u6 <none>
2023-06-17 06:05:35 status half-configured libc-bin:amd64 2.31-13+deb11u6
2023-06-17 06:05:35 status installed libc-bin:amd64 2.31-13+deb11u6
2023-06-17 06:05:47 startup archives unpack
2023-06-17 06:05:47 install libapr1:amd64 <none> 1.7.0-6+deb11u2
2023-06-17 06:05:47 status triggers-pending libc-bin:amd64 2.31-13+deb11u6
2023-06-17 06:05:47 status half-installed libapr1:amd64 1.7.0-6+deb11u2
2023-06-17 06:05:47 status unpacked libapr1:amd64 1.7.0-6+deb11u2
2023-06-17 06:05:47 install libaprutil1:amd64 <none> 1.6.1-5+deb11u1
2023-06-17 06:05:47 status half-installed libaprutil1:amd64 1.6.1-5+deb11u1
2023-06-17 06:05:47 status unpacked libaprutil1:amd64 1.6.1-5+deb11u1
2023-06-17 06:05:48 install libaprutil1-dbd-sqlite3:amd64 <none> 1.6.1-5+deb11u1
2023-06-17 06:05:48 status half-installed libaprutil1-dbd-sqlite3:amd64 1.6.1-5+deb11u1
2023-06-17 06:05:48 status unpacked libaprutil1-dbd-sqlite3:amd64 1.6.1-5+deb11u1
2023-06-17 06:05:48 install libaprutil1-ldap:amd64 <none> 1.6.1-5+deb11u1
2023-06-17 06:05:48 status half-installed libaprutil1-ldap:amd64 1.6.1-5+deb11u1
2023-06-17 06:05:48 status unpacked libaprutil1-ldap:amd64 1.6.1-5+deb11u1
2023-06-17 06:05:48 install liblua5.3-0:amd64 <none> 5.3.3-1.1+b1
2023-06-17 06:05:48 status half-installed liblua5.3-0:amd64 5.3.3-1.1+b1
2023-06-17 06:05:48 status unpacked liblua5.3-0:amd64 5.3.3-1.1+b1
2023-06-17 06:05:48 install apache2-bin:amd64 <none> 2.4.56-1~deb11u2
2023-06-17 06:05:48 status half-installed apache2-bin:amd64 2.4.56-1~deb11u2
2023-06-17 06:05:48 status triggers-pending man-db:amd64 2.9.4-2
2023-06-17 06:05:48 status unpacked apache2-bin:amd64 2.4.56-1~deb11u2
2023-06-17 06:05:48 install apache2-data:all <none> 2.4.56-1~deb11u2
2023-06-17 06:05:48 status half-installed apache2-data:all 2.4.56-1~deb11u2
2023-06-17 06:05:48 status unpacked apache2-data:all 2.4.56-1~deb11u2
2023-06-17 06:05:48 install apache2-utils:amd64 <none> 2.4.56-1~deb11u2
2023-06-17 06:05:48 status half-installed apache2-utils:amd64 2.4.56-1~deb11u2
2023-06-17 06:05:48 status unpacked apache2-utils:amd64 2.4.56-1~deb11u2
2023-06-17 06:05:48 install mailcap:all <none> 3.69
2023-06-17 06:05:48 status half-installed mailcap:all 3.69
2023-06-17 06:05:48 status unpacked mailcap:all 3.69
2023-06-17 06:05:48 install mime-support:all <none> 3.66
2023-06-17 06:05:48 status half-installed mime-support:all 3.66
2023-06-17 06:05:48 status unpacked mime-support:all 3.66
2023-06-17 06:05:48 install apache2:amd64 <none> 2.4.56-1~deb11u2
2023-06-17 06:05:48 status half-installed apache2:amd64 2.4.56-1~deb11u2
2023-06-17 06:05:48 status unpacked apache2:amd64 2.4.56-1~deb11u2
2023-06-17 06:05:48 install bzip2:amd64 <none> 1.0.8-4
2023-06-17 06:05:48 status half-installed bzip2:amd64 1.0.8-4
2023-06-17 06:05:48 status unpacked bzip2:amd64 1.0.8-4
2023-06-17 06:05:48 install ssl-cert:all <none> 1.1.0+nmu1
2023-06-17 06:05:48 status half-installed ssl-cert:all 1.1.0+nmu1
2023-06-17 06:05:48 status unpacked ssl-cert:all 1.1.0+nmu1
2023-06-17 06:05:48 startup packages configure
2023-06-17 06:05:48 configure libapr1:amd64 1.7.0-6+deb11u2 <none>
2023-06-17 06:05:48 status unpacked libapr1:amd64 1.7.0-6+deb11u2
